name,width,height,origin_x,origin_y,margin_left,margin_right,margin_top,margin_bottom,bbox_mode,frame_count
spr_floorsign_r3_it,33,21,0,0,0,32,0,20,0,1
spr_goalhud_it,101,16,0,0,0,100,0,15,0,1
spr_happybreaktime_it,120,40,0,0,0,119,0,39,0,1
spr_hotlandsign_it,80,5,0,0,0,79,0,4,0,1
spr_hpname_it,32,20,0,0,4,26,5,14,0,1
spr_itembt_it,110,42,0,0,0,109,0,41,0,2
spr_itembt_hollow_it,110,42,0,0,0,109,0,41,0,2
spr_killervisage_it,243,64,0,0,1,239,0,63,0,1
spr_librarysign_it,41,14,0,0,0,40,0,13,0,1
spr_mercybutton_normal_it,110,42,0,0,0,109,0,41,0,1
spr_mettatonb_behind_it,108,92,52,66,26,77,4,62,2,1
spr_mettatonb_behind_on_it,108,92,52,66,26,77,4,62,2,1
spr_mettnewslogo_it,205,44,0,0,15,185,4,36,0,1
spr_oolbone_it,112,60,0,0,3,105,40,58,2,1
spr_out_to_lunch_sign_it,30,38,0,0,0,28,0,35,0,1
spr_papdate_cool_it,74,109,0,2,0,70,30,108,0,1
spr_punchcard_it,320,240,0,0,42,273,41,191,0,1
spr_pxquit_it,58,19,0,0,0,57,0,18,0,2
spr_quittingmessage_it,96,20,0,0,1,90,1,14,0,3
spr_quiztouch_it,36,9,0,0,0,35,0,8,0,1
spr_savebt_it,110,42,0,0,0,109,0,41,0,2
spr_snowdinlogo_it,191,47,0,0,6,183,25,45,2,1
spr_soapbul_it,30,40,0,0,6,23,6,33,2,1
spr_sparebt_it,110,42,0,0,3,106,3,37,2,2
spr_sparebt_bandage_it,110,42,0,0,3,106,3,37,2,2
spr_starcheckeredit_it,320,240,0,0,120,200,85,155,2,1
spr_talkbt_it,110,42,0,0,0,109,0,41,0,2
spr_talkbt_hollow_it,110,42,0,0,0,109,0,41,0,2
spr_text_congratulations_it,62,6,32,0,0,61,0,5,0,1
spr_timehud_it,101,20,0,0,0,100,0,19,0,1
spr_timehud_vert_it,101,41,0,20,0,100,0,40,0,1
spr_tv_warning_it,140,100,0,0,0,139,0,99,0,1
spr_udebone_it,114,60,0,0,0,110,35,57,2,1
spr_wordfall2_it,37,13,18,6,3,34,1,11,0,1
spr_wordfall3_it,20,15,10,7,2,17,2,12,0,1
spr_wordfall4_it,43,13,21,6,2,41,1,11,0,1
spr_wordfall5_it,26,13,13,6,2,25,1,11,0,1
spr_wordsearch_it,280,200,0,0,0,279,0,199,0,2
